POAM_ID,Source_Finding,Control,Weakness,Risk_Rating,Owner,Target_Close,Milestones,Status_At_2026_07_31,Closure_Date,Closure_Evidence
POA-001,SAR-001,IA-2(1),Multifactor authentication not enforced for the peer reviewer portal,High,Samuel P. Hargrave,2026-07-31,Procure IdP licences 2026-06-05; pilot with 8 reviewers 2026-06-26; enforce for all reviewers 2026-07-31,Closed,2026-07-24,Reviewer portal federated to the FWDA IdP; MFA enforced for all 65 reviewer accounts; screenshots of enforcement policy and a failed single factor login attempt retained
POA-002,SAR-004,SI-2,Unremediated OpenSSH vulnerability on two bastion hosts,Moderate,Samuel P. Hargrave,2026-06-30,Validate patch in staging 2026-06-12; patch bastion-01 2026-06-19; patch bastion-02 2026-06-26,Closed,2026-06-26,OpenSSH updated on both bastion hosts; authenticated rescan on 2026-06-29 returned no finding for CVE-2024-6387
POA-003,SAR-005,CM-6,Configuration baseline deviations on four of eleven application instances,Moderate,Samuel P. Hargrave,2026-07-31,Remediate 4 instances 2026-06-30; add automated drift detection 2026-07-31,Closed,2026-07-29,All four instances rebuilt from the approved image; drift detection rule active in the configuration service; two consecutive clean compliance reports retained
POA-004,SAR-006,AU-6,Audit record review is performed but not evidenced at the required frequency,Moderate,Derrick A. Whitmore,2026-08-31,Define review template 2026-07-15; automate weekly report 2026-08-14; produce 4 consecutive weeks of evidence 2026-08-31,Open,,Review template approved 2026-07-15. Automation in build. Two of the four required consecutive weeks of evidence produced.
POA-005,SAR-007,CP-4,Contingency plan test not performed within the last twelve months,Moderate,Marcus T. Delacroix,2026-09-30,Update contingency plan 2026-07-31; functional restore test 2026-09-15; after action report 2026-09-30,Open,,"Contingency plan updated 2026-07-28. Functional restore test scheduled 2026-09-15, on track."
POA-006,SAR-008,SR-3,Supply chain risk management procedures drafted but not approved,Moderate,Nkeiru Sarah Adesida,2026-08-31,Finalise procedure 2026-07-24; System Owner approval 2026-08-14; brief development team 2026-08-31,Open,,Procedure finalised 2026-07-24 and submitted to the System Owner. Awaiting approval signature.
POA-007,SAR-011,SC-28,Backup snapshots in the secondary region not encrypted with the customer managed key,Low,Samuel P. Hargrave,2026-09-30,Create secondary region CMK 2026-08-14; re-encrypt existing snapshots 2026-09-15; update replication policy 2026-09-30,Open,,"Secondary region customer managed key created 2026-07-30, ahead of the 2026-08-14 milestone. Re-encryption not started."
POA-008,SAR-012,IA-5,Authenticator management policy predates the current agency standard,Low,Nkeiru Sarah Adesida,2026-08-31,Redraft policy section 2026-07-10; security review 2026-08-07; publish v2.0 2026-08-31,Closed,2026-07-15,Policy section v2.0 published early; authenticator language now matches the configured identity provider behaviour
POA-009,SAR-013,PS-4,Separation checklist not evidenced for two of nine separations,Low,Yvonne C. Castellanos,2026-09-30,Recover 2 missing checklists 2026-08-15; move checklist into the HR workflow tool 2026-09-30,Open,,One of the two missing checklists recovered. Workflow tool change request raised with Human Capital.
POA-010,SAR-014,CM-8,Component inventory omits three container images,Low,Priya N. Raghunathan,2026-10-30,Add the 3 images to inventory 2026-08-29; wire the build pipeline to register images automatically 2026-10-30,Open,,Three container images added to the inventory 2026-07-22. Pipeline automation in design.
POA-011,July 2026 scan,RA-5,Two managed database instances missing from the July authenticated scan scope,Moderate,Samuel P. Hargrave,2026-10-29,See monthly report,Open,,Instances provisioned for the July release were not added to the scan target group.
POA-012,July 2026 scan,SI-2,Unremediated Apache Log4j 2 vulnerability in a reporting service dependency,High,Priya N. Raghunathan,2026-08-30,See monthly report,Open,,CVE-2021-44228 identified in a bundled dependency of the reporting service. Compensating control: the service does not accept untrusted user input into log statements and is not internet facing.
