Finding_ID,Control,Finding,Severity,Disposition,POAM_ID,Detail
SAR-001,IA-2(1),Multifactor authentication not enforced for the peer reviewer portal,High,"Open, carried to POA&M",POA-001,"Agency staff authenticate through the FWDA identity provider with a PIV card. The 65 contracted peer reviewers authenticate to a separate portal with a username and password only. Reviewers can read unpublished merit review scores and applicant PII, so single factor authentication on that path is not acceptable at the Moderate baseline."
SAR-002,SI-10,Stored cross site scripting in the grant narrative field,High,"Closed during fieldwork, retested",,The assessor submitted a script payload in the project narrative field of the application form. The payload was stored without encoding and executed when a reviewer opened the application. Remediated during fieldwork by adding context aware output encoding and a server side allow list; retested and confirmed closed on 24 March 2026.
SAR-003,AC-6(5),Three application administrators hold standing privileged access with no approval record,High,"Closed during fieldwork, retested",,Three accounts in the application administrator group had no completed access request form on file. Two were required for operations and were reauthorised with documented approval; one belonged to a contractor whose task order had ended and was disabled. Closed 31 March 2026.
SAR-004,SI-2,Unremediated OpenSSH vulnerability on two bastion hosts,Moderate,"Open, carried to POA&M",POA-002,"Authenticated scanning identified CVE-2024-6387, a signal handler race condition in OpenSSH sshd on glibc based Linux that can lead to remote code execution as root, on bastion-01 and bastion-02. The hosts sit behind a restricted management security group, which reduces but does not remove exposure."
SAR-005,CM-6,Configuration baseline deviations on four of eleven application instances,Moderate,"Open, carried to POA&M",POA-003,"Four of eleven application tier instances deviated from the approved hardening baseline: two permitted password based SSH authentication, one had an unused web administration interface listening on a non standard port, and one had audit rules missing for privileged command execution."
SAR-006,AU-6,Audit record review is performed but not evidenced at the required frequency,Moderate,"Open, carried to POA&M",POA-004,"The security operations team reviews alerts daily, but the weekly correlated review of privileged account activity required by the system security plan produced evidence for only 6 of the 12 weeks sampled. The control activity appears to occur; the record of it does not exist."
SAR-007,CP-4,Contingency plan test not performed within the last twelve months,Moderate,"Open, carried to POA&M",POA-005,"The contingency plan was last exercised as a tabletop in February 2025. A functional restore test of the database tier from backup into an isolated subnet has never been performed, so the documented four hour recovery time objective is unverified."
SAR-008,SR-3,Supply chain risk management procedures drafted but not approved,Moderate,"Open, carried to POA&M",POA-006,"Supply chain controls in the SR family require documented processes for vetting and monitoring suppliers of system components. A draft procedure exists covering the container base image pipeline and the third party merit scoring library, but it has not been approved by the System Owner or socialised with the development team."
SAR-009,RA-5,Authenticated scanning not configured for the database tier,Moderate,"Closed during fieldwork, retested",,"Vulnerability scans of the database tier ran unauthenticated, so scan coverage was limited to network reachable services and missed installed package versions. A read only scanning service account with credentialed access was provisioned and a full authenticated scan completed on 20 March 2026. Closed."
SAR-010,AT-2,Literacy training and awareness overdue for eleven users,Moderate,"Closed during fieldwork, retested",,Eleven of 420 agency users were past the annual due date for security literacy and awareness training. All eleven completed training during fieldwork and the Human Capital Liaison enabled an automated 30 day reminder. Closed 26 March 2026.
SAR-011,SC-28,Backup snapshots in the secondary region not encrypted with the customer managed key,Low,"Open, carried to POA&M",POA-007,"Primary region snapshots use a customer managed KMS key. Snapshots replicated to the secondary region were encrypted with the default service managed key, which means key rotation and key access logging are outside agency control for that copy."
SAR-012,IA-5,Authenticator management policy predates the current agency standard,Low,"Open, carried to POA&M",POA-008,"The password and authenticator section of the system security policy still reflects a 90 day forced rotation model. The current agency standard, and the configured behaviour of the identity provider, is length based with screening against a breached password list. The implemented control is stronger than the documented one, so the defect is documentation accuracy rather than security posture."
SAR-013,PS-4,Separation checklist not evidenced for two of nine separations,Low,"Open, carried to POA&M",POA-009,"Nine separations occurred in the sample period. Accounts were disabled within one business day in all nine cases, confirmed from identity provider logs, but the signed separation checklist covering property return and access revocation attestation was on file for only seven."
SAR-014,CM-8,Component inventory omits three container images,Low,"Open, carried to POA&M",POA-010,"The authoritative component inventory lists eleven instances and four managed services but omits three container images introduced in the March release. Inventory completeness drives scan coverage, so the omission is a control dependency rather than an isolated paperwork gap."
SAR-015,PE-3,Visitor access log at the regional office is maintained on paper,Low,Risk accepted by the AO,,"One of nine regional offices maintains a paper visitor log rather than an electronic badge record. The office holds no system components; staff there access KGMS as ordinary users over the agency network. The AO accepted this risk on 15 May 2026 on the basis that no system component is housed at the location, with review at the annual assessment."
SAR-016,AU-11,Audit record retention set to ninety days in one log group,Moderate,"Closed during fieldwork, retested",,"One of seven CloudWatch log groups, covering application error logs, retained records for 90 days against a required one year online plus two year archive. Retention was corrected and an archive lifecycle policy applied on 30 March 2026. Closed."
